공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
1,0,1,1,4,4,1,0,0,5,1,45,0,1659,535,287,823,6,368,238
1,0,5,1,1,3,1,0,0,4,1,45,0,6615,1425,434,1860,6,141,39
1,0,4,1,1,65,5,0,0,70,2,45,0,41215,18660,6483,25143,6,238,238
1,0,4,1,1,62,4,0,0,66,2,45,0,37121,9617,7129,16746,6,153,39
1,0,4,1,1,20,6,0,0,26,1,45,0,15426,4955,880,5836,6,240,238
1,0,5,1,1,79,1,0,0,80,2,45,0,57515,17188,19759,36948,6,238,39
1,0,2,0,1,11,2,0,0,13,1,45,0,3506,1232,1072,2305,6,206,238
1,0,5,1,1,3,0,0,0,3,1,45,0,24072,1475,4323,5799,6,236,39
0,3,6,0,1,18,1,0,0,19,1,64,31,981,742,239,981,6,288,39
0,3,0,1,3,21,2,0,0,23,1,82,31,253,69,298,368,6,341,39
0,3,0,0,3,2,1,0,0,3,1,82,14,145,45,100,145,6,358,39
0,3,0,0,3,3,3,0,0,6,1,82,31,0,64,2,66,6,300,39
0,3,0,0,3,4,0,0,0,4,1,64,42,0,82,0,82,6,228,39
0,3,0,0,3,1,4,0,0,5,1,64,31,0,56,24,81,6,158,202
0,3,2,0,4,4,4,0,0,8,1,89,31,139295,1072,680,1752,6,172,39
0,3,0,0,3,5,0,0,0,5,1,64,14,0,64,36,100,6,398,202
0,3,0,0,3,3,0,0,0,3,1,64,31,0,49,59,109,6,75,39
0,3,6,0,3,10,1,0,0,11,1,89,31,0,269,69,339,6,341,39
0,3,0,0,3,1,1,0,0,2,1,64,31,0,56,0,56,6,379,39
0,3,6,0,3,2,3,0,0,5,1,64,31,0,86,87,174,6,359,202
0,3,0,0,3,4,1,0,0,5,1,64,31,0,35,65,100,6,288,39
0,3,6,0,3,5,1,0,0,6,1,64,31,224,164,60,224,6,339,202
0,3,6,0,1,36,9,0,0,45,1,64,31,0,205,69,275,6,324,202
0,3,6,0,1,7,1,0,0,8,1,64,31,70,35,35,70,6,339,39
0,3,0,0,3,4,0,0,0,4,1,89,31,0,34,66,100,6,301,39
