공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
0,3,6,0,2,3,2,0,0,5,1,56,9,149,64,85,149,6,206,3
0,3,0,1,2,8,2,0,0,10,1,58,9,294,167,161,329,6,261,3
0,3,0,1,3,5,0,0,0,5,1,16,0,3960,314,160,474,6,156,88
0,3,6,0,2,5,2,0,0,7,1,43,9,364,182,182,364,6,260,88
0,3,0,1,3,10,4,0,0,14,1,16,0,1982,318,132,450,6,180,88
0,5,3,1,0,16,3,0,0,19,1,16,0,4679,493,3,496,6,180,88
0,3,9,1,2,12,2,0,0,14,1,16,9,2388,360,100,460,6,180,88
0,3,9,1,3,4,0,0,0,4,1,18,3,2896,483,10,494,6,180,88
0,3,0,0,2,10,2,0,0,12,1,38,0,253,292,142,434,6,254,88
0,3,0,1,3,16,10,5,0,31,1,19,0,2314,425,0,425,6,336,88
0,5,3,1,0,5,2,0,0,7,1,16,0,1620,243,248,492,6,238,88
0,5,7,0,3,5,0,0,0,5,1,43,0,195,53,46,99,6,257,88
0,5,0,1,3,7,0,0,0,7,1,16,0,2293,457,32,490,6,180,88
0,5,3,1,3,7,3,0,0,10,1,16,0,2920,343,156,499,6,135,88
0,3,9,1,2,4,1,0,0,5,1,16,9,1336,259,0,259,6,180,88
0,3,6,0,2,3,0,0,0,3,1,38,0,240,240,0,240,6,179,88
0,3,6,0,2,3,0,0,0,3,1,16,9,769,99,50,149,6,179,88
0,5,0,0,3,8,7,0,0,15,1,16,19,1563,384,107,492,6,4,88
0,5,0,1,3,1,0,0,0,1,1,16,15,736,144,34,179,6,325,88
0,5,0,1,3,3,0,0,0,3,1,16,3,1322,195,65,260,6,4,88
0,5,9,1,3,8,1,2,0,11,1,19,0,3226,450,0,450,6,135,88
0,5,0,1,3,5,0,0,0,5,1,38,0,750,133,267,400,6,149,88
0,5,3,1,0,3,0,0,0,3,1,16,0,3860,494,3,497,6,135,88
0,3,3,1,0,3,3,0,0,6,1,16,10,1323,129,96,225,6,324,88
0,3,6,0,2,8,4,0,0,12,1,16,0,2182,273,0,273,6,72,88
0,5,0,1,3,7,1,0,0,8,1,16,15,1686,263,71,335,6,336,88
0,5,0,1,3,4,2,0,0,6,1,16,0,980,189,189,378,6,205,88
0,3,0,1,3,2,1,0,0,3,1,16,0,2302,330,74,404,6,135,88
0,3,0,1,0,6,1,0,0,7,1,16,3,1286,162,217,379,6,179,88
0,3,6,0,2,0,1,0,0,1,1,39,9,176,50,53,103,6,115,88
0,3,5,1,3,4,1,0,0,5,1,16,0,1762,348,0,348,6,325,88
0,3,6,0,2,1,0,0,0,1,1,43,9,141,70,71,141,6,254,88
0,3,0,1,3,3,1,0,0,4,1,16,0,2599,423,70,493,6,245,88
0,5,0,1,3,3,1,0,0,4,1,21,0,529,208,104,312,6,179,88
0,5,0,1,3,6,0,0,0,6,1,16,0,1322,215,10,225,6,136,88
0,3,0,1,3,1,1,0,0,2,1,16,0,1286,245,245,490,6,254,88
0,5,9,1,3,3,1,0,0,4,1,17,9,1675,53,22,76,6,347,88
0,5,0,1,2,4,0,0,0,4,1,16,9,2325,70,70,140,6,347,88
0,5,0,1,0,1,1,0,0,2,1,38,0,932,240,0,240,6,165,88
0,3,0,1,3,4,1,0,0,5,1,16,0,2694,334,163,498,6,180,88
0,5,0,1,3,7,2,0,0,9,1,16,3,2900,492,0,492,6,180,88
0,3,3,1,3,3,0,0,0,3,1,16,3,992,190,0,190,6,194,88
0,3,3,1,3,8,1,0,0,9,1,16,0,1666,264,66,330,6,179,88
0,3,0,1,0,1,0,0,0,1,1,16,0,1728,338,73,412,6,180,88
0,5,0,1,3,5,2,0,0,7,1,16,0,1391,240,252,492,6,254,88
0,5,3,1,0,17,6,0,0,23,1,16,0,3986,480,11,491,6,146,88
0,5,0,1,0,3,1,0,0,4,1,16,0,2666,325,171,496,6,238,88
0,3,0,1,3,5,5,0,0,10,1,16,3,1980,395,0,395,6,258,88
0,5,0,1,0,2,1,0,0,3,1,16,0,995,198,0,198,6,179,88
0,5,0,1,3,3,1,0,0,4,1,21,15,1435,247,246,493,6,205,88
0,5,0,1,0,10,0,0,0,10,1,16,3,2934,492,0,492,6,180,88
0,3,0,1,3,5,1,0,0,6,1,16,15,1480,259,216,475,6,183,88
0,5,0,1,3,4,1,0,0,5,1,16,3,1653,352,138,490,6,179,88
0,5,0,1,3,3,2,0,0,5,1,16,0,1653,250,132,382,6,131,88
0,5,0,1,3,4,0,0,0,4,1,16,0,1068,85,70,155,6,206,88
0,5,3,1,3,8,12,0,0,20,1,19,3,2526,440,51,492,6,105,88
0,3,3,1,3,3,3,0,0,6,1,19,0,3223,333,156,490,6,280,88
0,5,0,1,3,4,0,0,0,4,1,16,0,2632,384,108,493,6,179,88
0,3,0,0,0,4,0,0,0,4,1,16,0,208,100,0,100,6,325,13
0,3,0,1,0,3,0,0,0,3,1,16,0,2106,420,0,420,6,238,13
0,3,0,1,0,2,2,0,0,4,1,16,0,1367,340,58,399,6,238,13
0,3,2,0,2,7,2,0,1,10,1,16,0,983,95,118,213,6,179,13
0,3,0,1,3,3,0,0,0,3,1,16,3,820,160,0,160,6,179,13
0,5,0,1,3,8,2,0,0,10,1,16,3,4228,492,0,492,6,245,13
0,3,0,1,0,7,3,0,0,10,1,19,0,675,130,45,175,6,218,13
0,3,2,0,2,7,3,0,0,10,1,16,0,3927,366,79,445,6,195,13
0,3,6,0,2,2,1,0,0,3,1,16,0,1845,244,3,247,6,179,13
0,3,2,0,2,5,0,0,0,5,1,16,0,1915,200,60,260,6,307,13
0,5,0,1,0,2,1,0,0,3,1,16,0,523,200,100,300,6,254,13
0,3,6,0,0,5,0,0,0,5,1,16,0,76,65,10,76,6,217,13
0,3,6,0,2,4,0,0,0,4,1,16,0,175,150,25,175,6,179,13
0,5,0,1,3,3,0,0,0,3,1,16,0,3557,335,159,494,6,183,13
0,5,0,1,0,6,1,0,0,7,1,16,0,2498,488,0,488,6,146,13
0,3,0,1,3,3,1,0,0,4,1,19,3,1421,282,66,348,6,238,13
0,5,7,0,3,4,1,0,0,5,1,16,0,3920,418,75,494,6,79,13
0,3,0,1,0,4,1,0,0,5,1,19,3,1421,282,66,348,6,238,13
0,3,6,0,2,1,4,0,0,5,1,16,9,99,85,14,99,6,10,13
0,3,3,1,3,10,0,0,0,10,1,16,3,4974,495,2,497,6,78,13
0,5,0,1,3,3,0,0,0,3,1,16,0,2927,425,69,494,6,180,13
0,3,0,1,2,12,5,0,0,17,1,16,0,1210,474,236,710,6,94,13
0,3,7,0,3,4,0,0,0,4,1,38,8,607,218,35,254,6,245,13
0,5,7,0,3,3,0,0,0,3,1,16,3,1653,257,129,386,6,179,13
0,3,0,1,0,3,1,0,0,4,1,19,3,1495,295,66,361,6,238,13
0,5,9,1,0,11,3,0,0,14,1,16,0,1864,225,228,453,6,135,13
